Rank,Model,Family,Size(B),Composite,Parse_EM,Extract_F1,Onto_F1,Cite_Recall,Grounding,Relev_F1,Domain_Acc,Org_Acc,Tok/s
1,llama3.1-8b-q4,llama,8,0.7759,0.9667,0.2725,0.7604,0.8833,1.0000,0.9206,0.6200,0.8200,116.7
2,llama3.1-8b,llama,8,0.7680,0.8333,0.3004,0.8125,0.9333,1.0000,0.9032,0.7000,0.8200,75.7
3,aya-expanse-8b,aya,8,0.7667,1.0000,0.2775,0.6875,0.9500,1.0000,0.8235,0.6200,0.8400,92.5
4,qwen3.5-4b,qwen,4,0.7556,0.6333,0.3117,0.8750,1.0000,1.0000,0.8772,0.7000,0.8000,91.5
5,qwen3-1.7b+think,qwen,1.7,0.7553,0.7000,0.3105,0.7812,0.9167,1.0000,0.8621,0.8000,0.8200,220.5
